Kingdom,Phylum,Class,Order,Family,Genus,Sediment,,,,Water,,,,Algae,,,,,,,,,
,,,,,,DSD,GISD,PSD,CSD,DW,GIW,PW,CW,GIDd,CDd,DPa,GIPa,PPa,CPa,DSp,GISp,PSp,CSp
Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,1,1,2,1,1,1,1,0,4,4,0,3,4,3,1,2,3,2
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,1,0,1,0,1,1,1,1,2,2,0,0,0,0,1,0,0,1
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Bacteria,Cyanobacteria/Melainabacteria,Cyanobacteria,Synechococcales,Prochlorococcaceae,Prochlorococcus,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina,2,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Oligoflexia,Oligoflexales,Pseudobacteriovoracaceae,Pseudobacteriovorax,3,0,1,0,3,0,1,1,0,0,1,0,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,1,0,1,0,1,1,0,0,2,1,1,1,1,1,1,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Pseudovibrio,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Reichenbachiellaceae,Reichenbachiella,4,1,1,0,2,0,0,5,1,0,3,2,0,0,0,2,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,2,1,0,1,1,1,1,1,1,1,2,1,1,1,2,1,1,0
