#NAME,CDd1,CDd2,CDd3,GIDd1,GIDd2,GIDd3,CPa1,CPa2,CPa3,GIPa1,GIPa2,GIPa3,DPa1,DPa2,DPa3,PPa1,PPa2,PPa3,CSp1,CSp2,CSp3,GISp1,GISp2,GISp3,DSp1,DSp2,DSp3,PSp1,PSp2,PSp3
Glutamic Acid,24308.08611,15625.92308,3737.160823,4207.690655,6029.259839,2562.066633,954.130226,2870.235629,1233.104663,4355.081425,1839.483151,994.1362104,1318.089756,1031.663131,898.0443802,101686.0663,67654.0482,30155.73365,5983.864841,582.257476,530.9274238,152184.0792,168166.057,267968.317,4056.607243,6431.724767,2529.833773,3719.224488,10088.00878,4103.775102
Guaiazulene,489643.2158,341736.8451,200544.0482,102237.6754,125104.7237,178133.0596,28895.42268,40307.61461,32696.20165,41571.31389,33150.60985,37156.65979,45979.18275,47082.0766,24731.42446,73702.32841,83475.63595,70001.33587,19208.51016,24230.06594,28661.67405,85110.50174,85418.24635,73623.05907,40385.43429,50830.57414,37845.30939,59491.10759,55585.33702,47962.87637
Guanine,26799.81873,41845.04452,28142.33441,3481.247578,3999.468106,30170.50741,8407.972214,4238.547532,2308.825254,3996.619532,5716.488956,5974.806596,3464.319628,4779.726998,5645.562059,42085.24959,9344.989599,57182.23943,10934.13123,1018.996794,2044.156297,14567.36634,57129.58897,16421.64991,4160.229683,690910.7785,194269.3151,5230.12746,9411.187964,14308.1814
Hypotaurocyamine,66544.61145,255487.5673,54296.64247,10864.58489,11044.83563,10129.67301,19254.93266,13034.3003,16929.28624,58625.08982,93527.29117,3819.496214,38287.67909,42623.24353,68082.85978,26050.6946,30875.39842,680970.2064,13591.13377,31997.89522,128342.1982,84400.03983,86124.99691,51049.81918,10020.5365,29548.05075,38127.74652,47283.64197,29219.27761,29036.06507
Hypoxanthine,21613.28876,31104.62616,7741.90955,7840.231881,26166.8794,51029.73207,112087.1104,151988.4093,10421.41554,6794.195926,5364.41616,5082.554289,4318.250695,3715.531647,6902.216591,214035.1121,1390538.587,3404413.424,12966.62568,11317.74252,8097.328573,2746840.024,873693.6443,1149809.413,12853.96902,24456.48733,12185.65849,22297.25392,145758.3938,62956.52556
Indole-3-acrylic acid,22437.58622,37165.69947,54873.48369,9964.00483,9847.162837,795841.9367,11377.58679,10885.05213,5213.063167,10955.31132,8592.848751,10316.95356,8182.770002,9323.027209,7536.188617,93642.57248,22786.74327,48149.48681,7151.228785,7652.55439,7340.111061,52498.05947,40349.19146,246150.747,6599.680599,38139.52303,15010.43488,32546.9934,45606.20274,19112.54063
Indole-3-ethanol,13697.74324,13547.36898,2920.211452,7326.004681,816.4751367,14405.71024,1261.284483,3507.222801,558.5371858,3253.796718,2782.06557,6287.630012,1846.416099,10772.14028,34158.73204,14089.43507,10398.8272,2770.477503,2372.201734,1661.962692,857.6828084,9529.128837,9307.188524,13241.8837,3751.705504,15320.54242,11189.13247,1563.313719,4768.425265,4034.464265
Indoleacrylicacid,25692.23742,36919.80964,31131.18944,3333.561179,3423.845711,4582.39317,28097.48164,10652.2014,33215.27499,3170.243532,3521.801563,2918.976081,2696.820118,4855.244284,4178.014174,8499.449912,8835.275811,276826.3667,2834.433701,2012.760118,2983.264361,12355.56188,9441.016529,10024.90475,2347.183351,6565.487338,3483.646619,2799.001708,5708.591015,37208.40322
Isoquinoline,293675.904,126446.4482,173163.24,34491.69066,27772.53402,28613.41651,7578.301474,11814.71518,9202.149311,24363.79523,9303.753892,5003.31856,24816.89677,15223.26526,12464.41347,84685.44667,90089.77326,131136.7304,3906.120352,6636.369311,5727.491905,69579.11582,61793.46064,143121.9124,4588.694002,6005.396384,4453.968337,18222.61223,11374.3277,9795.082004
Jasmonic acid,1926646.114,382477.5098,928010.6592,795299.7128,950837.1781,619000.8431,450712.0791,799182.1478,174043.1183,95826.15465,322030.8146,1221050.654,86803.59767,504293.6137,451624.7742,1770487.826,614500.8454,754886.2876,215050.4661,317170.7998,120369.7108,2272667.027,919795.9703,2560097.316,871434.1276,643245.3785,912046.2406,606854.7289,93662.11646,521856.0205
L-(-)-Norephedrine,1612440.631,981999.0917,70984.83788,445233.5895,414579.6036,146000.7469,53781.75942,71543.04608,56469.05238,203613.7289,104944.979,332296.0106,271576.1539,201906.8866,369169.7766,2783791.381,2645059.138,1122931.701,27933.89494,34563.08214,64506.53475,2098724.668,2066934.307,3191122.618,139616.1465,105023.8734,170224.42,30222.13608,505338.9421,168008.0819
