Domain,Phylum,Class,Order,Family,Genus,Species,#NAME,Sediment,,,Water,,,,Algae,,,,,,,,,
,,,,,,,,DSD,PSD,CSD,DW,GIW,PW,CW,CDd,CPa,CSp,DPa,DSp,GIDd,GIPa,GISp,PPa,PSp
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureisphaera,unclassified Aureisphaera,Aureisphaera sp. CAU 1614,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Saprospiria,Saprospirales,Saprospiraceae,Aureispira,unclassified Aureispira,unclassified Aureispira sp. CCB-QB1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureivirga,unclassified Aureivirga,Aureivirga sp. CE67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Balneolia,Balneolales,Balneolaceae,Balneola,unclassified Balneola,unclassified Balneola sp.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,Burkholderia multivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,Burkholderia stagnalis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,Burkholderia ubonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,Burkholderia vietnamiensis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group,Burkholderia pseudomallei,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,Buttiauxella izardii,Buttiauxella izardii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter giovannonii,Candidatus Pelagibacter giovannonii,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique,Candidatus Pelagibacter ubique,0,0,0,29,36,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. FZCC0015,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. HTCC7211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. RS40,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED165,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED197,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED239,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED253,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified Candidatus Pelagibacter,Candidatus Pelagibacter sp. TMED64,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,Catenococcus thiocycli,Catenococcus thiocycli,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio japonicus,Cellvibrio japonicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio mixtus,Cellvibrio mixtus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,unclassified Cellvibrio,Cellvibrio sp. 79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,unclassified Cellvibrio,Cellvibrio sp. OA-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,unclassified Cellvibrio,Cellvibrio sp. PSBB006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium ceti,Cetobacterium ceti,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium somerae,Cetobacterium somerae,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,unclassified Cetobacterium,Cetobacterium sp. 2A,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,unclassified Cetobacterium,Cetobacterium sp. 2G large,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter canadensis,Chromohalobacter canadensis,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter salexigens,Chromohalobacter salexigens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,Cobetia amphilecti,Cobetia amphilecti,0,0,0,0,0,0,0,6,16,5,10,21,2,8,1,5,7
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,Cobetia crustatorum,Cobetia crustatorum,0,0,0,0,0,0,0,3,11,5,10,13,0,8,2,2,4
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,Cobetia marina,Cobetia marina,0,0,0,1,0,0,0,4,18,21,62,86,2,35,2,3,26
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,Cobetia pacifica,Cobetia pacifica,0,0,0,0,0,0,0,1,2,1,2,10,0,1,0,1,1
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. 2AS1,0,0,0,0,0,0,0,6,2,3,2,6,2,5,0,1,4
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. 4B,1,0,0,0,0,0,0,2,7,6,10,15,1,6,3,1,8
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. 5-11-6-3,0,0,0,0,0,0,0,0,2,3,2,3,0,1,0,0,7
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. 5-25-4-2,0,0,0,0,0,0,0,1,3,1,7,2,1,3,0,0,1
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. AM6,1,0,0,0,0,0,0,3,7,7,4,9,2,4,1,3,5
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. cqz5-12,1,0,0,0,0,0,0,10,19,25,28,42,5,25,14,9,30
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. ICG0124,0,0,0,0,0,0,0,4,10,2,14,14,3,12,4,8,9
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. L2A1,1,0,0,0,0,0,0,6,10,5,5,20,1,8,0,2,6
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. MB87,0,0,0,0,0,0,0,4,2,3,2,2,0,3,1,0,2
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. MC34,0,0,0,0,0,0,0,1,3,1,0,10,0,3,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. MM1IDA2H-1,0,0,0,0,0,0,0,0,1,1,2,6,0,1,0,1,2
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. QF-1,0,0,0,0,0,0,0,0,0,0,3,5,1,1,1,0,4
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,unclassified Cobetia,Cobetia sp. UCD-24C,0,0,0,0,0,0,0,2,1,3,7,5,2,4,0,0,3
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Cohaesibacteraceae,Cohaesibacter,Cohaesibacter gelatinilyticus,Cohaesibacter gelatinilyticus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Cohaesibacteraceae,Cohaesibacter,Cohaesibacter marisflavi,Cohaesibacter marisflavi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium rouxii,Corynebacterium rouxii,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceivirga,Croceivirga lutea,Croceivirga lutea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceivirga,Croceivirga radicis,Croceivirga radicis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceivirga,unclassified Croceivirga,Croceivirga sp. JEA036,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,unclassified Curvibacter,Curvibacter sp. CHRR-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia pacifica,Dokdonia pacifica,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,unclassified Dokdonia,Dokdonia sp. Hel1_53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas acroporae,Endozoicomonas acroporae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,Endozoicomonas atrinae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas montiporae,Endozoicomonas montiporae,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
